,,shift,3.894646498,TCTemp3
35.907,18.95901199,19.91430644,20.76689112,24.66153762
36.008,18.93598188,19.97521997,21.43341349,25.32805999
36.106,18.96569276,19.9868399,21.48011307,25.37475956
36.207,18.90694707,19.79580138,20.73589505,24.63054155
36.307,18.89487561,19.9545039,19.51069705,23.40534355
36.407,18.94643697,20.00797656,20.76173929,24.65638579
36.508,18.87318658,19.83861156,21.18419513,25.07884163
36.607,18.8773887,19.96809597,20.60734087,24.50198737
36.708,18.8521259,20.14026098,21.70451101,25.59915751
36.806,18.96909556,20.04778694,21.80558693,25.70023343
36.907,18.86277068,19.82103025,21.09338675,24.98803325
37.008,18.8717549,19.58663975,20.65799739,24.55264389
37.107,18.85754462,19.75985652,21.20945061,25.10409711
37.207,18.84975223,20.30783993,21.72358313,25.61822963
37.308,18.92501684,20.04983892,20.8591916,24.7538381
37.407,18.83888045,19.62157331,20.80480773,24.69945423
37.507,18.82847826,19.85190105,21.43249867,25.32714517
37.608,18.84673971,20.02240228,21.28422892,25.17887542
37.707,18.87920146,20.01450795,21.0344124,24.9290589
37.808,18.80692538,19.96435419,21.14580879,25.04045529
37.906,18.83761903,19.99845231,21.18887714,25.08352363
38.007,18.83745652,19.98126496,21.57249783,25.46714433
38.107,18.79784431,19.81711291,21.2620261,25.1566726
38.208,18.81794062,19.95432027,19.70241572,23.59706222
38.306,18.79273474,20.09656693,20.85762624,24.75227274
38.407,18.80312127,19.92861318,22.47951951,26.37416601
38.508,18.88490301,19.83703737,21.21583868,25.11048518
38.607,18.84205413,19.96322959,19.94387509,23.83852158
38.707,18.86224108,20.00150772,20.3854651,24.28011159
38.873,18.83079602,20.11165757,21.637412,25.5320585
38.908,18.83219694,20.07681872,21.92337363,25.81802013
39.006,18.86881664,19.72991253,21.47562727,25.37027376
39.107,18.83449162,19.94637142,21.48996148,25.38460798
39.208,18.82885678,20.0822073,20.99979899,24.89444549
39.307,18.80730005,19.65713112,20.55919909,24.45384558
39.407,18.82822611,19.59307456,21.15808798,25.05273448
39.508,18.79012573,19.99511487,21.60894902,25.50359552
39.607,18.82327139,20.29557106,21.22719546,25.12184195
39.708,18.9109054,20.00920923,20.99804531,24.8926918
39.807,18.78827339,19.70149348,20.52914803,24.42379453
39.909,18.86487591,20.03684378,20.58159513,24.47624162
40.008,18.8489977,20.14678642,22.05627068,25.95091718
40.107,18.83981082,20.15625572,21.25108697,25.14573347
40.207,18.87695184,20.17561888,20.5285225,24.423169
40.308,18.87337332,20.02813066,21.66771239,25.56235888
40.407,18.87250654,19.88232426,22.04368862,25.93833512
40.507,18.9026163,19.94665502,21.48938025,25.38402675
40.606,18.91501402,19.94748011,20.98069772,24.87534422
40.708,18.97670262,19.95829021,21.73697464,25.63162113
40.807,18.84041734,20.23738898,22.37616801,26.27081451
40.906,18.88879582,19.94256111,21.23690298,25.13154948
41.008,18.7942422,19.85351654,20.4245082,24.3191547
41.11,18.86159435,20.23848913,21.01236621,24.90701271
41.207,18.91782512,20.21448921,21.56453582,25.45918232
41.307,18.9490478,19.99418815,21.65241897,25.54706547
41.407,18.94799563,19.87470938,21.08084206,24.97548856
41.507,18.91429057,20.03702975,20.40426578,24.29891228
41.608,18.91018762,20.08356067,21.01937798,24.91402448
41.706,18.8786002,19.90621494,21.31829219,25.21293869
41.807,18.89405492,20.0174832,20.56609078,24.46073728
41.908,18.91835967,20.22376156,21.49789431,25.39254081
42.006,18.88743044,20.09123815,21.56459158,25.45923808
42.107,18.90312604,19.82572906,20.21074466,24.10539115
42.209,18.86111934,19.76203765,20.22343022,24.11807672
42.308,18.88325214,19.96371549,21.08250154,24.97714804
42.407,18.90312724,20.28290498,21.47938566,25.37403215
42.508,18.8700132,20.04312162,21.01994815,24.91459465
42.607,18.8898332,19.48124326,20.34955278,24.24419928
42.708,18.85373345,19.92783506,21.43283366,25.32748016
42.806,18.81802956,19.92454144,21.33814119,25.23278768
42.907,18.82623616,19.61952463,20.61057209,24.50521859
43.008,18.85883628,19.94711314,21.2029289,25.0975754
43.107,18.85349251,19.94180072,21.23420918,25.12885568
43.207,18.83826002,19.94574381,20.96184284,24.85648934
43.308,18.77052525,19.82120959,20.53800255,24.43264904
43.472,18.78196124,19.84824896,19.81273137,23.70737787
43.506,18.7651721,20.0536848,20.79331403,24.68796053
43.607,18.81435326,19.91833565,22.61839938,26.51304588
43.708,18.76847355,19.83800123,21.4439219,25.33856839
43.807,18.76618152,19.98749213,20.34717728,24.24182378
43.907,18.80603608,20.01439665,21.34936294,25.24400944
44.008,18.83126133,19.93409061,22.14687863,26.04152513
44.107,18.81579276,19.942893,22.14793722,26.04258371
44.208,18.79461448,19.76670009,21.58382663,25.47847313
44.306,18.84994003,19.96307229,21.67955927,25.57420577
44.407,18.81335949,20.1831603,21.36284931,25.2574958
44.508,18.82974184,19.7182578,20.72365149,24.61829799
44.607,18.81293128,19.79824189,21.48972912,25.38437562
44.707,18.79186285,20.35733469,21.90870109,25.80334759
44.808,18.84924981,20.37908721,21.27472402,25.16937052
44.907,18.80297642,20.01062269,21.04497002,24.93961652
45.007,18.84770035,19.74274836,21.31932884,25.21397534
45.108,18.85656268,20.02054062,21.49572258,25.39036908
45.207,18.82736691,20.28860006,22.17263218,26.06727868
45.307,18.92778618,20.08715642,21.55480273,25.44944923
45.407,18.85191983,20.12370039,20.21959377,24.11424027
45.508,18.90108502,20.12203852,21.75137904,25.64602553
45.607,18.8349799,19.84134536,21.66970033,25.56434683
45.708,18.85374227,19.94853893,20.55811372,24.45276021
45.806,18.90865297,20.10107512,20.62785163,24.52249812
45.907,18.95739359,20.0764652,21.68158748,25.57623397
46.008,18.91476301,20.17662688,22.26632671,26.16097321
46.107,18.8841911,19.89765432,20.91890182,24.81354831
46.207,18.85811652,19.76665349,20.13981642,24.03446292
46.307,18.85162619,20.15531131,21.04942406,24.94407056
46.408,18.89386716,20.05683536,21.55453186,25.44917836
46.506,18.89006773,19.69765365,21.39265336,25.28729986
46.607,18.91995217,19.77437197,20.96814345,24.86278995
46.707,18.86433406,19.95820453,20.35422194,24.24886844
46.809,18.88719425,20.04815015,20.34437273,24.23901922
46.907,18.85906274,19.87859616,20.78231189,24.67695839
47.008,18.86825792,19.89073817,20.44347552,24.33812202
47.107,18.85456923,20.24172013,21.28694596,25.18159246
47.207,18.84491066,20.039273,22.10766309,26.00230958
47.307,18.81147517,19.66059305,20.18816077,24.08280727
47.408,18.80482445,19.78169832,20.835861,24.7305075
47.507,18.81631956,19.93819271,22.12462193,26.01926842
47.607,18.79881078,20.07911728,21.92053592,25.81518242
47.708,18.80631767,19.91323872,21.08727908,24.98192558
47.807,18.83438591,19.58530084,20.68172507,24.57637157
47.908,18.84800919,19.76936717,21.63631994,25.53096644
48.007,18.82238426,20.06668948,21.54110335,25.43574985
48.108,18.76965521,19.80634922,20.95473634,24.84938284
48.207,18.83294445,20.02804875,21.28860199,25.18324849
48.308,18.75628605,20.21467343,21.42759974,25.32224624
48.406,18.77484311,20.01026606,21.02732414,24.92197064
48.507,18.74998057,19.85382051,20.74509619,24.63974269
48.608,18.78336276,19.88641075,20.63848515,24.53313165
48.707,18.82674631,20.12109772,21.5450442,25.4396907
48.807,18.81768768,19.97838542,22.84758101,26.74222751
48.908,18.77353859,19.82982345,21.49390758,25.38855408
49.007,18.76623316,20.05695972,20.0762767,23.9709232
49.107,18.80704848,20.08826651,21.315944,25.2105905
49.208,18.82662874,19.94594471,21.76718949,25.66183599
49.307,18.81948799,19.99804426,21.32752643,25.22217293
49.408,18.7846711,19.98425004,21.37405879,25.26870529
49.506,18.78322312,20.0167411,21.50975581,25.4044023
